Bird,Adult,Male,d15NPl,d13CPl,time,day,month,year,julianday
1,0,0,10.22,-11.36,1,26,10,2003,299.75
2,1,1,10.37,-11.88,1,26,10,2003,299.75
3,1,1,10.44,-10.6,1,26,10,2003,299.75
4,0,1,10.52,-11.25,1,26,10,2003,299.75
5,1,0,10.19,-11.66,1,26,10,2003,299.75
6,0,0,10.45,-10.41,1,26,10,2003,299.75
7,0,1,9.91,-10.88,1,26,10,2003,299.75
8,1,1,11.27,-14.73,1,26,10,2003,299.75
9,1,0,9.34,-11.52,1,26,10,2003,299.75
10,1,0,11.68,-15.89,2,12,1,2004,12
11,0,1,12.29,-14.79,2,12,1,2004,12
12,0,0,11.04,-17.64,2,12,1,2004,12
13,0,0,11.46,-16.97,2,12,1,2004,12
14,1,0,11.73,-17.25,2,12,1,2004,12
15,1,0,12.29,-14.77,2,12,1,2004,12
16,0,0,11.79,-15.67,2,13,1,2004,13
17,0,0,11.49,-15.34,2,13,1,2004,13
18,0,1,11.73,-15.53,2,13,1,2004,13
19,0,0,11.1,-17.27,2,13,1,2004,13
20,0,0,11.36,-15.63,2,13,1,2004,13
21,0,1,12.19,-15.94,2,13,1,2004,13
22,1,1,11.03,-14.88,2,13,1,2004,13
23,0,0,11.21,-15.9,2,13,1,2004,13
25,1,0,10.58,-17.11,2,13,1,2004,13
26,0,1,11.61,-14.93,2,13,1,2004,13
27,0,0,12.16,-16.26,2,13,1,2004,13
28,0,0,10.7,-17.5,2,13,1,2004,13
29,0,1,11.47,-16.37,2,13,1,2004,13
30,1,0,12.07,-15.21,2,13,1,2004,13
31,1,0,11.75,-15.43,2,13,1,2004,13
32,0,0,11.86,-16.54,2,13,1,2004,13
33,1,1,12.33,-15,2,13,1,2004,13
34,0,0,12.36,-16.41,2,13,1,2004,13
35,0,1,11.13,-15.09,2,13,1,2004,13
36,0,0,10.92,-18.06,2,13,1,2004,13
37,1,1,12.42,-16.27,2,13,1,2004,13
38,0,1,10.95,-15.08,2,13,1,2004,13
39,0,1,12.28,-14.39,2,14,1,2004,14
40,0,0,11.04,-21.45,3,17,2,2004,47.42
41,1,1,10.76,-22.52,3,17,2,2004,47.42
42,1,1,10.99,-21.25,3,17,2,2004,47.42
43,1,1,10.78,-21.84,3,17,2,2004,47.42
44,1,1,11.07,-22.51,3,17,2,2004,47.42
45,1,0,10.2,-21.97,3,18,2,2004,48.42
46,0,1,11.67,-20.23,3,18,2,2004,48.42
48,0,0,7.53,-21.64,3,18,2,2004,48.42
50,0,0,10.65,-22.49,3,18,2,2004,48.42
52,1,1,10.58,-21.91,3,18,2,2004,48.42
53,1,1,11.13,-21.65,3,18,2,2004,48.42
55,0,0,7.73,-21.37,3,18,2,2004,48.42
57,0,0,10.79,-22.9,3,18,2,2004,48.42
58,0,0,10.47,-21.13,3,18,2,2004,48.42
61,0,0,10.82,-19.33,3,18,2,2004,48.42
62,0,1,10.41,-20.29,3,18,2,2004,48.42
64,1,0,11.1,-20.56,3,18,2,2004,48.42
66,1,0,10.95,-20.87,3,18,2,2004,48.42
67,1,1,10.76,-21.07,3,18,2,2004,48.42
68,1,1,10.83,-21.69,3,18,2,2004,48.42
71,0,0,10.25,-21.17,3,18,2,2004,48.42
72,0,0,10.52,-21.74,3,18,2,2004,48.42
74,0,1,9.94,-22.69,3,18,2,2004,48.42
76,1,1,9.94,-21.06,3,18,2,2004,48.42
78,0,0,10.65,-21.5,3,18,2,2004,48.42
80,0,0,10.76,-20.15,3,18,2,2004,48.42
82,1,0,11.11,-21.99,3,18,2,2004,48.42
83,1,0,10.2,-22.3,3,18,2,2004,48.42
85,0,1,11.27,-21.71,3,18,2,2004,48.42
87,1,1,10.21,-22.48,3,18,2,2004,48.42
89,0,0,10.88,-21.86,3,18,2,2004,48.42
90,0,1,11.21,-21.68,3,18,2,2004,48.42
91,0,1,11.36,-20.97,3,18,2,2004,48.42
93,0,0,10.75,-21.91,3,18,2,2004,48.42
95,0,1,12.38,-19.05,3,18,2,2004,48.42
97,1,1,11.16,-22.78,3,18,2,2004,48.42
102,0,1,11.57,-22.36,3,18,2,2004,48.42
104,0,1,10.79,-22.46,3,18,2,2004,48.42
106,1,1,11.13,-21.52,3,18,2,2004,48.42
107,1,0,10.72,-21.84,3,18,2,2004,48.42
110,1,0,10.99,-21.3,3,18,2,2004,48.42
112,1,1,10.38,-21.39,3,18,2,2004,48.42
114,1,0,10.95,-22.1,3,18,2,2004,48.42
116,1,1,10.75,-21.59,3,18,2,2004,48.42
117,1,0,10.75,-20.14,3,18,2,2004,48.42
119,1,0,11.05,-20.67,3,18,2,2004,48.42
120,1,0,10.66,-20.31,3,18,2,2004,48.42
123,1,1,10.61,-20.07,3,18,2,2004,48.42
124,1,1,10.9,-21.2,3,18,2,2004,48.42
125,0,0,11.14,-20.44,3,18,2,2004,48.42
127,0,1,10.33,-22.06,3,18,2,2004,48.42
131,0,0,10.83,-22.05,3,18,2,2004,48.42
133,0,0,10.75,-21.44,3,18,2,2004,48.42
142,1,1,9.18,-21.93,3,18,2,2004,48.42
143,0,0,9.03,-22.47,3,18,2,2004,48.42
144,0,0,9.05,-22.27,3,18,2,2004,48.42
145,0,1,8.6,-22.19,3,18,2,2004,48.42
146,1,0,8.29,-22.81,3,18,2,2004,48.42
147,1,1,10.32,-20.48,3,19,2,2004,49.42
148,0,1,10.28,-22.47,3,19,2,2004,49.42
149,1,1,6.47,-18.06,3,19,2,2004,49.42
150,1,0,11.36,-20.72,3,19,2,2004,49.42
151,1,0,10.75,-20.97,3,19,2,2004,49.42
152,1,0,11.13,-19.11,3,19,2,2004,49.42
154,1,0,11.37,-18.4,3,19,2,2004,49.42
155,1,1,10.86,-20.45,3,19,2,2004,49.42
156,0,0,10.54,-21.2,3,19,2,2004,49.42
157,1,0,10.39,-19.74,3,19,2,2004,49.42
158,1,1,10.66,-20.48,3,19,2,2004,49.42
160,1,0,9.99,-21.48,3,19,2,2004,49.42
162,1,1,11.65,-17.81,3,19,2,2004,49.42
163,1,1,11.02,-19.77,3,19,2,2004,49.42
164,0,0,10.67,-22.56,3,19,2,2004,49.42
165,0,0,8.15,-14.72,4,17,11,2004,321.17
166,1,1,11.12,-12.21,4,17,11,2004,321.17
167,1,0,10.95,-12.35,4,17,11,2004,321.17
168,0,1,11.2,-13.88,4,18,11,2004,322.17
169,1,0,10.76,-14.43,4,18,11,2004,322.17
170,0,0,11.32,-14.65,4,18,11,2004,322.17
171,0,0,10.85,-13.9,4,18,11,2004,322.17
172,1,1,11.74,-14.12,4,18,11,2004,322.17
173,1,1,10.46,-10.88,4,19,11,2004,323.17
174,1,1,10.93,-10.44,4,19,11,2004,323.17
175,1,0,12.3,-15.33,5,15,12,2004,349.58
176,1,1,10.67,-13.78,5,15,12,2004,349.58
177,1,1,11.51,-13.98,5,15,12,2004,349.58
178,1,1,10.56,-15.22,5,15,12,2004,349.58
179,1,0,12.51,-15.25,5,15,12,2004,349.58
180,1,1,13.51,-15.76,5,15,12,2004,349.58
181,1,1,11.98,-15.78,5,15,12,2004,349.58
182,1,0,12.2,-15.49,5,15,12,2004,349.58
183,1,0,10.48,-13.02,5,15,12,2004,349.58
184,1,0,12.4,-15.3,5,15,12,2004,349.58
185,1,0,13,-15.55,5,15,12,2004,349.58
186,1,1,11.36,-14.35,5,15,12,2004,349.58
187,1,0,12.08,-14.99,5,15,12,2004,349.58
188,1,1,12.39,-14.83,5,15,12,2004,349.58
189,1,1,12.28,-16.18,5,15,12,2004,349.58
190,1,1,12.6,-15.01,5,15,12,2004,349.58
191,1,0,11.3,-12.87,5,15,12,2004,349.58
192,1,0,11.1,-14.67,5,15,12,2004,349.58
193,1,1,11.42,-13.84,5,15,12,2004,349.58
194,1,0,11.49,-14.89,5,15,12,2004,349.58
195,1,1,12,-13.33,5,15,12,2004,349.58
196,1,1,13.35,-15.04,5,15,12,2004,349.58
197,1,1,11.97,-14.29,5,15,12,2004,349.58
198,1,0,13.35,-15.62,5,15,12,2004,349.58
199,1,1,12.75,-13.99,5,15,12,2004,349.58
200,1,0,12.55,-15.06,5,15,12,2004,349.58
201,1,1,12.3,-15.06,5,15,12,2004,349.58
202,1,1,12.51,-15,5,15,12,2004,349.58
203,1,0,12.61,-14.55,5,15,12,2004,349.58
204,1,0,10.98,-13.32,5,15,12,2004,349.58
205,1,0,11.82,-14.34,5,15,12,2004,349.58
206,1,0,12.27,-14.47,5,15,12,2004,349.58
207,1,1,12.11,-14.31,5,15,12,2004,349.58
208,1,0,12.11,-14.18,5,15,12,2004,349.58
209,1,1,12.89,-16.18,5,15,12,2004,349.58
211,1,0,12.29,-15.92,5,16,12,2004,350.58
212,1,1,11.89,-15.35,5,16,12,2004,350.58
213,1,0,12.74,-14.29,5,16,12,2004,350.58
214,1,0,12.29,-15.92,5,16,12,2004,350.58
215,1,0,11.89,-15.35,5,16,12,2004,350.58
218,1,1,10.56,-20.22,6,28,1,2005,28
222,1,0,10.54,-19.97,6,28,1,2005,28
225,0,1,10.97,-20.78,6,28,1,2005,28
230,1,1,10.46,-20.61,6,28,1,2005,28
249,1,0,10.56,-20.58,6,28,1,2005,28
255,1,0,10.86,-20.19,6,28,1,2005,28
260,1,1,10.9,-20.71,6,28,1,2005,28
270,0,0,11.06,-20.59,6,28,1,2005,28
271,0,0,10.76,-20.09,6,28,1,2005,28
275,1,1,10.64,-19.37,6,28,1,2005,28
283,1,0,10.94,-20.41,6,28,1,2005,28
289,1,0,10.85,-20.84,6,28,1,2005,28
295,0,0,10.45,-20.75,6,28,1,2005,28
300,1,0,11.15,-20.29,6,28,1,2005,28
303,1,0,11.23,-20.89,6,28,1,2005,28
304,1,0,11.16,-19.69,6,28,1,2005,28
305,1,1,10.94,-20.41,6,28,1,2005,28
306,0,0,11.2,-21.24,6,28,1,2005,28
307,1,1,10.71,-19.33,6,28,1,2005,28
308,1,1,9.55,-25.87,7,18,2,2005,48.42
309,1,1,8.6,-25.4,7,18,2,2005,48.42
310,1,1,9.67,-27.23,7,18,2,2005,48.42
311,0,1,8.17,-27.52,7,18,2,2005,48.42
312,1,0,9.81,-24.55,7,18,2,2005,48.42
313,1,0,10.94,-17.36,7,18,2,2005,48.42
314,1,0,9.49,-24.7,7,18,2,2005,48.42
315,0,1,9.46,-27.76,7,18,2,2005,48.42
316,0,1,7.94,-28.92,7,18,2,2005,48.42
317,1,1,9.77,-25.98,7,18,2,2005,48.42
318,1,0,8.07,-26.77,7,18,2,2005,48.42
319,1,0,8.39,-28.76,7,18,2,2005,48.42
320,1,1,8.95,-27.7,7,18,2,2005,48.42
321,1,0,9.83,-24.75,7,18,2,2005,48.42
322,1,1,8.51,-25.47,7,18,2,2005,48.42
323,1,1,8.86,-26.58,7,18,2,2005,48.42
324,1,1,7.93,-28.94,7,18,2,2005,48.42
325,0,1,8,-29.13,7,18,2,2005,48.42
326,1,0,8.33,-26.65,7,18,2,2005,48.42
327,1,0,8,-28.04,7,18,2,2005,48.42
328,0,1,9.39,-27.5,7,18,2,2005,48.42
329,1,0,8.01,-29.28,7,18,2,2005,48.42
330,0,1,7.59,-27.85,7,18,2,2005,48.42
331,1,0,8.26,-27.41,7,18,2,2005,48.42
332,0,1,9.49,-27.57,7,18,2,2005,48.42
333,0,1,8.23,-29.06,7,18,2,2005,48.42
334,1,0,9.1,-25.98,7,18,2,2005,48.42
335,1,1,8.21,-28.21,7,18,2,2005,48.42
336,0,1,9.59,-25.27,7,18,2,2005,48.42
337,1,0,9.37,-14.43,7,18,2,2005,48.42
338,1,0,9.47,-27.4,7,18,2,2005,48.42
339,0,0,8.6,-27.76,7,18,2,2005,48.42
340,0,1,8.23,-28.45,8,8,4,2005,99.25
346,1,1,8.39,-27.35,8,8,4,2005,99.25
342,1,1,8.24,-28.83,8,8,4,2005,99.25
347,1,0,8.34,-29.39,8,8,4,2005,99.25
341,1,1,8.36,-28.86,8,8,4,2005,99.25
344,0,0,7.22,-28.61,8,8,4,2005,99.25
343,0,0,7.13,-29.27,8,8,4,2005,99.25
345,1,0,10.64,-20.32,8,8,4,2005,99.25
351,1,0,8.06,-28.21,8,8,4,2005,99.25
348,1,1,8.22,-26.3,8,8,4,2005,99.25
349,1,0,8.92,-28.27,8,8,4,2005,99.25
350,1,1,9.35,-27.75,8,8,4,2005,99.25
352,0,1,7.32,-28.55,8,8,4,2005,99.25
353,1,0,7.66,-27.38,8,8,4,2005,99.25
354,1,0,8.09,-29.13,8,8,4,2005,99.25
355,1,0,7.3,-28.66,8,8,4,2005,99.25
357,1,0,7.33,-29.02,8,8,4,2005,99.25
356,1,0,7.33,-26.04,8,8,4,2005,99.25
362,1,1,7.36,-26.06,8,8,4,2005,99.25
358,1,1,7.49,-28.52,8,8,4,2005,99.25
360,1,1,8.07,-28.51,8,8,4,2005,99.25
359,1,1,8.84,-27.93,8,8,4,2005,99.25
361,1,0,7.93,-29.07,8,8,4,2005,99.25
363,1,0,7.94,-28.41,8,8,4,2005,99.25
373,1,1,8.74,-26.42,8,9,4,2005,100.25
372,1,0,8.26,-27.71,8,9,4,2005,100.25
369,1,0,9.63,-27.75,8,9,4,2005,100.25
368,1,0,8.85,-24.28,8,9,4,2005,100.25
367,1,1,7.55,-28.43,8,9,4,2005,100.25
370,1,1,10.05,-25.94,8,9,4,2005,100.25
371,1,1,8.23,-28,8,9,4,2005,100.25
365,1,1,7.74,-28.59,8,9,4,2005,100.25
366,1,0,9.12,-22.61,8,9,4,2005,100.25
374,1,0,7.33,-27.34,8,10,4,2005,101.25
376,0,0,7.54,-27.35,8,10,4,2005,101.25
375,0,0,8.8,-29.14,8,10,4,2005,101.25
