color,spine,width,satell,weight
2,3,28.3,8,3.05
3,3,22.5,0,1.55
1,1,26,9,2.3
3,3,24.8,0,2.1
3,3,26,4,2.6
2,3,23.8,0,2.1
1,1,26.5,0,2.35
3,2,24.7,0,1.9
2,1,23.7,0,1.95
3,3,25.6,0,2.15
3,3,24.3,0,2.15
2,3,25.8,0,2.65
2,3,28.2,11,3.05
4,2,21,0,1.85
2,1,26,14,2.3
1,1,27.1,8,2.95
2,3,25.2,1,2
2,3,29,1,3
4,3,24.7,0,2.2
2,3,27.4,5,2.7
2,2,23.2,4,1.95
1,2,25,3,2.3
2,1,22.5,1,1.6
3,3,26.7,2,2.6
4,3,25.8,3,0.2
4,3,26.2,0,1.3
2,3,28.7,3,3.15
2,1,26.8,5,2.7
4,3,27.5,0,2.6
2,3,24.9,0,2.1
1,1,29.3,4,3.2
1,3,25.8,0,2.6
2,2,25.7,0,2
2,1,25.7,8,2
2,1,26.7,5,2.7
4,3,23.7,0,1.85
2,3,26.8,0,2.65
2,3,27.5,6,3.15
4,3,23.4,0,1.9
2,3,27.9,6,2.8
3,3,27.5,3,3.1
1,1,26.1,5,2.8
1,1,27.7,6,2.5
2,1,30,5,3.3
3,1,28.5,9,3.25
3,3,28.9,4,2.8
2,3,28.2,6,2.6
2,3,25,4,2.1
2,3,28.5,3,3
2,1,30.3,3,3.6
4,3,24.7,5,2.1
2,3,27.7,5,2.9
1,1,27.4,6,2.7
2,3,22.9,4,1.6
2,1,25.7,5,2
2,3,28.3,15,3
2,3,27.2,3,2.7
3,3,26.2,3,2.3
2,1,27.8,0,2.75
4,3,25.5,0,2.25
3,3,27.1,0,2.55
3,3,24.5,5,2.05
3,1,27,3,2.45
2,3,26,5,2.15
2,3,28,1,2.8
2,3,30,8,3.05
2,3,29,10,3.2
2,3,26.2,0,2.4
2,1,26.5,0,1.3
2,3,26.2,3,2.4
3,3,25.6,7,2.8
3,3,23,1,1.65
3,3,23,0,1.8
2,3,25.4,6,2.25
3,3,24.2,0,1.9
2,2,22.9,0,1.6
3,2,26,3,2.2
2,3,25.4,4,2.25
3,3,25.7,0,1.2
2,3,25.1,5,2.1
3,2,24.5,0,2.25
4,3,27.5,0,2.9
3,3,23.1,0,1.65
3,1,25.9,4,2.55
2,3,25.8,0,2.3
4,3,27,3,2.25
2,3,28.5,0,3.05
4,1,25.5,0,2.75
4,3,23.5,0,1.9
2,2,24,0,1.7
2,1,29.7,5,3.85
2,1,26.8,0,2.55
4,3,26.7,0,2.45
2,1,28.7,0,3.2
3,3,23.1,0,1.55
2,1,29,1,2.8
3,3,25.5,0,2.25
3,3,26.5,1,1.967
3,3,24.5,1,2.2
3,3,28.5,1,3
2,3,28.2,1,2.867
2,3,24.5,1,1.6
2,3,27.5,1,2.55
2,2,24.7,4,2.55
2,1,25.2,1,2
3,3,27.3,1,2.9
2,3,26.3,1,2.4
2,3,29,1,3.1
2,3,25.3,2,1.9
2,3,26.5,4,2.3
2,3,27.8,3,3.25
2,3,27,6,2.5
3,3,25.7,0,2.1
2,3,25,2,2.1
2,3,31.9,2,3.325
4,3,23.7,0,1.8
4,3,29.3,12,3.225
3,3,22,0,1.4
2,3,25,5,2.4
3,3,27,6,2.5
3,3,23.8,6,1.8
1,1,30.2,2,3.275
3,3,26.2,0,2.225
2,3,24.2,2,1.65
2,3,27.4,3,2.9
2,2,25.4,0,2.3
3,3,28.4,3,3.2
4,3,22.5,4,1.475
2,3,26.2,2,2.025
2,1,24.9,6,2.3
1,2,24.5,6,1.95
2,3,25.1,0,1.8
2,1,28,4,2.9
4,3,25.8,10,2.25
2,3,27.9,7,3.05
2,3,24.9,0,2.2
2,1,28.4,5,3.1
3,3,27.2,5,2.4
2,2,25,6,2.25
2,3,27.5,6,2.625
2,1,33.5,7,5.2
2,3,30.5,3,3.325
3,3,29,3,2.925
2,1,24.3,0,2
2,3,25.8,0,2.4
4,3,25,8,2.1
2,1,31.7,4,3.725
2,3,29.5,4,3.025
3,3,24,10,1.9
2,3,30,9,3
2,3,27.6,4,2.85
2,3,26.2,0,2.3
2,1,23.1,0,2
2,1,22.9,0,1.6
4,3,24.5,0,1.9
2,3,24.7,4,1.95
2,3,28.3,0,3.2
2,3,23.9,2,1.85
3,3,23.8,0,1.8
3,2,29.8,4,3.5
2,3,26.5,4,2.35
2,3,26,3,2.275
2,3,28.2,8,3.05
4,3,25.7,0,2.15
2,3,26.5,7,2.75
2,3,25.8,0,2.2
3,3,24.1,0,1.8
3,3,26.2,2,2.175
3,3,26.1,3,2.75
3,3,29,4,3.275
1,1,28,0,2.625
4,3,27,0,2.625
2,2,24.5,0,2
