GDD5,MTCO,Abies,Alnus,Betula,Picea,Pinus D,Quercus D,Gramineae
1874,-7.9,0,50,158,7,721,22,0
1623,-5.5,0,38,28,302,537,19,0
1475,-4.7,0,276,183,110,136,0,0
1360,-8.8,0,111,354,141,364,0,0
1295,-6.9,0,91,50,151,708,0,0
1539,-7.8,0,51,194,82,673,0,0
1526,-6.6,0,187,280,93,281,47,0
1553,-8.1,0,73,115,146,666,0,0
1459,-10.9,0,45,267,143,420,0,0
1283,-8.3,0,10,90,121,779,0,0
913,-13.9,0,0,140,59,801,0,0
1318,-7.9,0,132,379,204,266,0,0
1700,-9.8,0,71,141,121,577,40,0
1431,-9.6,0,146,281,104,469,0,0
1638,-5.4,0,11,228,206,446,43,0
1643,-4.9,0,91,50,283,506,0,0
1680,-3.1,0,60,180,190,520,30,0
1647,-4.3,0,80,115,138,530,34,0
1861,-8.2,0,83,227,0,628,0,0
1883,-8.1,0,100,120,0,700,0,0
1825,-8.8,0,10,20,30,940,0,0
1533,-4.2,0,76,67,105,705,9,0
1476,-5,0,202,267,86,345,14,0
1378,-5.7,0,20,167,0,783,0,0
1351,-8.1,0,255,406,94,208,9,0
1416,-8.7,0,60,260,150,500,10,0
1378,-8.3,0,51,121,253,555,20,0
1553,-7.4,0,269,199,117,136,0,0
1625,-7.2,0,119,250,33,565,0,0
1655,-5.7,0,200,400,30,360,0,0
1334,-7.4,0,146,29,243,544,0,0
1320,-7.5,0,247,303,96,258,0,0
1318,-7,0,154,500,125,183,0,0
1506,-9.8,0,10,67,10,866,0,0
1510,-10.3,0,230,320,100,210,20,0
1295,-8.8,0,133,318,108,441,0,0
1238,-9.3,0,101,330,50,519,0,0
1275,-8.8,0,90,230,90,590,0,0
1928,-7.7,0,25,124,5,798,30,0
1898,-8.2,0,10,45,21,924,0,0
1931,-8.3,0,40,149,34,639,90,0
1834,-8.7,0,132,213,10,555,50,0
1263,-9.4,0,118,449,78,314,10,0
1206,-9.6,0,151,260,40,528,0,0
1040,-13.1,0,120,120,120,640,0,0
635,-14.8,0,37,228,124,605,0,0
1261,-8.9,0,80,140,96,684,0,0
1088,-12.9,0,84,372,30,514,0,0
490,-9,0,41,259,0,700,0,0
1336,-5.9,0,100,420,49,420,0,0
1550,-10.7,0,50,160,160,630,0,0
1921,-8.1,0,20,110,9,782,44,0
1943,-7.2,0,44,89,0,797,62,0
1988,-7.1,0,20,64,64,285,171,0
1948,-5.2,174,107,23,84,241,26,0
2087,-6.1,0,57,105,0,519,0,0
2193,-4,141,110,41,259,10,0,0
1319,-0.4,0,59,173,82,41,59,182
1517,0,0,96,149,53,138,11,277
2966,2,9,57,28,9,198,160,57
2955,2,4,46,17,0,295,174,100
2959,1.9,4,47,17,4,155,197,124
2963,2,0,55,13,4,214,210,105
2958,2,0,84,0,5,257,229,93
2922,2.2,14,11,19,14,168,176,99
3034,2.7,4,44,24,16,218,157,145
3046,2.8,12,54,0,4,196,215,92
2984,3.3,12,72,28,4,151,191,124
3024,3.6,12,50,12,4,319,200,42
2753,0.9,5,16,0,0,16,115,712
2838,2,0,11,4,0,38,41,714
2806,0.9,0,8,0,0,41,74,738
2880,0.7,0,0,0,0,68,198,396
2839,1.1,0,17,13,0,68,633,46
2833,1,0,9,0,0,26,192,107
2907,1.5,0,7,0,0,3,796,40
2907,1.5,0,21,0,0,29,740,37
2840,0.9,0,0,0,0,14,104,52
2880,1.3,0,18,0,0,18,73,48
2884,1.4,0,667,0,0,13,10,17
2823,0.9,0,69,5,0,25,39,20
2884,1.4,0,54,0,0,45,45,49
2765,0.9,0,11,6,6,63,201,213
2765,0.8,0,0,3,3,20,117,622
2565,-2.2,0,12,7,9,40,212,35
2565,-2.2,0,5,0,14,106,168,79
2565,-2.2,0,13,9,3,11,369,47
2565,-2.2,0,8,13,13,58,184,85
2565,-2.2,0,6,4,23,195,63,34
2565,-2.2,0,5,0,23,205,87,26
2565,-2.2,0,8,5,34,265,77,34
2565,-2.2,0,16,12,24,188,182,51
2493,-1.7,0,0,3,0,139,174,78
2493,-1.7,0,0,0,7,184,112,79
2493,-1.7,0,0,0,27,337,91,54
2493,-1.7,0,0,0,31,202,103,45
2493,-1.7,0,6,0,6,341,113,48
2786,1.1,0,40,18,0,81,68,151
2780,1.1,0,43,14,2,73,62,108
994,-3.8,0,39,7,0,142,34,292
3259,6.8,0,0,0,0,159,0,365
2592,4.6,0,3,3,0,143,0,287
2566,4.5,0,0,0,0,326,0,281
2566,4.5,0,0,0,0,39,0,115
2374,3.7,0,0,0,0,131,0,147
2287,3.4,0,0,0,0,231,0,149
2462,4.1,0,0,0,0,0,0,0
1883,1.3,0,0,0,0,76,133,104
1900,1.4,0,0,8,0,254,0,131
2008,2,0,3,0,0,308,0,173
1978,1.9,0,0,0,0,346,24,109
1900,1.5,0,0,0,0,352,0,152
2016,2.1,0,0,0,0,169,0,295
2221,3.2,0,2,0,0,216,38,263
1437,2.7,0,9,69,0,160,0,176
1337,4.4,0,0,0,0,0,0,0
472,-10.2,1,23,454,49,316,1,84
1533,4.1,0,24,28,0,0,24,78
1499,3,0,2,2,0,13,4,400
1759,1.7,7,14,7,0,322,34,103
1512,3.2,0,214,67,0,70,30,284
1975,-0.3,20,109,37,114,182,133,77
718,-3.7,111,12,0,36,395,87,178
1357,-0.1,3,15,0,5,387,62,77
1646,4.7,0,49,18,4,87,37,484
1516,-1.7,0,127,184,53,232,35,191
730,-12.7,0,15,395,84,452,0,9
