rep.1,rep.2,rep.3,c.2,c.3,elev,forest,dur.1,dur.2,dur.3,length,alt
0,0,0,0,0,420,3,240,58,73,6.2,Low
0,0,0,0,0,450,21,160,39,62,5.1,Low
0,0,0,0,0,1050,32,120,47,74,4.3,Med
0,0,0,0,0,1110,35,180,44,71,5.4,Med
0,0,0,0,0,510,2,210,56,73,3.6,Low
0,0,0,0,0,630,60,150,56,73,6.1,Low
0,0,0,0,0,590,5,115,37,76,5.1,Low
0,0,0,0,0,530,13,155,47,74,3.7,Low
1,1,0,1,0,1140,50,165,46,70,3.8,Med
0,0,1,0,1,770,57,220,38,50,7.7,Med
0,0,0,0,0,1220,84,135,60,74,3.1,Med
0,0,0,0,0,460,17,240,49,81,4.4,Low
0,0,0,0,0,1010,58,145,69,71,6,Med
0,0,0,0,0,760,26,175,50,72,6.2,Med
1,0,0,0,0,1300,32,260,58,75,6.1,Med
1,1,0,1,0,1270,66,176,39,61,4.5,Med
0,0,0,0,0,380,45,180,40,86,6.2,Low
1,1,1,3,1,550,31,195,42,63,6.9,Low
0,0,0,0,0,390,8,150,50,75,4.6,Low
0,1,0,1,0,1380,78,160,75,99,3.7,Med
0,0,0,0,0,530,37,225,50,76,5.7,Low
0,0,0,0,0,1190,18,165,47,71,4,Med
1,1,1,1,1,1490,54,300,62,77,5.5,Med
0,0,0,0,0,920,6,170,40,61,4.3,Med
0,0,0,0,0,620,3,270,46,61,3.4,Low
0,0,0,0,0,540,27,180,45,66,4.2,Low
1,0,1,0,1,820,56,290,60,90,5.3,Med
1,1,1,3,4,1220,66,225,61,86,5.6,Med
1,1,1,1,2,1180,43,325,60,83,5.1,Med
0,0,0,0,0,730,40,390,45,58,6.2,Low
0,0,0,0,0,580,5,95,40,74,5.2,Low
0,0,0,0,0,490,3,160,46,48,5.5,Low
0,0,0,0,0,1270,52,185,50,72,5.6,Med
0,0,0,0,0,930,38,240,52,62,4.2,Med
0,0,0,0,0,510,49,210,51,62,4.1,Low
1,1,NA,2,NA,1830,15,340,94,NA,5.3,High
1,1,1,2,2,1940,62,325,73,84,5.1,High
1,1,1,3,4,1090,82,195,50,76,3.6,Med
