imm,week,block,trt,n,live,plantid
15,1,3,5,12,11,1
16,2,3,5,8,6,1
28,3,3,5,10,10,1
17,4,3,5,10,8,1
9,5,3,5,10,10,1
28,6,3,5,10,10,1
16,7,3,5,10,10,1
28,8,3,5,10,10,1
18,9,3,5,10,10,1
11,10,3,5,10,6,1
8,11,3,5,10,10,1
41,12,3,5,10,10,1
23,1,3,5,11,10,2
14,2,3,5,10,10,2
23,3,3,5,8,6,2
17,4,3,5,10,10,2
7,5,3,5,10,10,2
43,6,3,5,10,10,2
37,7,3,5,10,10,2
34,8,3,5,10,9,2
15,9,3,5,11,11,2
22,10,3,5,10,7,2
28,11,3,5,10,10,2
44,12,3,5,10,10,2
6,1,3,5,12,12,3
18,2,3,5,11,7,3
6,3,3,5,10,9,3
18,4,3,5,10,10,3
0,5,3,5,6,6,3
13,6,3,5,10,10,3
22,7,3,5,10,10,3
54,8,3,5,10,10,3
9,9,3,5,10,10,3
17,10,3,5,8,8,3
25,11,3,5,7,7,3
55,12,3,5,10,10,3
0,1,2,3,10,2,4
0,3,2,3,10,0,4
0,4,2,3,10,6,4
0,5,2,3,1,0,4
0,6,2,3,8,0,4
0,7,2,3,10,1,4
0,8,2,3,10,2,4
1,9,2,3,8,0,4
0,10,2,3,10,3,4
4,11,2,3,10,6,4
0,12,2,3,10,2,4
0,1,2,3,7,1,5
0,2,2,3,9,3,5
0,3,2,3,7,0,5
0,4,2,3,10,0,5
0,5,2,3,10,0,5
2,6,2,3,10,0,5
0,7,2,3,11,0,5
0,8,2,3,10,3,5
0,9,2,3,5,2,5
0,10,2,3,9,6,5
2,11,2,3,6,0,5
0,12,2,3,10,0,5
0,1,2,3,13,1,6
0,2,2,3,10,0,6
0,3,2,3,10,1,6
0,4,2,3,9,1,6
0,5,2,3,10,0,6
0,6,2,3,10,0,6
0,7,2,3,8,0,6
0,8,2,3,10,2,6
0,9,2,3,8,0,6
1,10,2,3,10,0,6
0,11,2,3,10,1,6
0,12,2,3,10,3,6
0,1,1,4,10,1,7
0,2,1,4,9,0,7
0,3,1,4,8,1,7
0,5,1,4,10,0,7
1,6,1,4,10,2,7
0,7,1,4,10,0,7
0,8,1,4,10,4,7
4,9,1,4,9,0,7
2,10,1,4,9,3,7
11,11,1,4,9,0,7
0,12,1,4,10,4,7
0,1,1,4,11,8,8
0,2,1,4,11,0,8
0,3,1,4,11,3,8
0,4,1,4,8,2,8
0,5,1,4,9,0,8
2,6,1,4,11,0,8
0,7,1,4,10,2,8
0,8,1,4,7,2,8
1,9,1,4,8,0,8
0,10,1,4,5,1,8
5,11,1,4,9,1,8
0,12,1,4,10,0,8
0,1,1,4,10,7,9
0,2,1,4,9,4,9
0,3,1,4,11,1,9
0,4,1,4,9,6,9
0,5,1,4,11,0,9
0,6,1,4,10,0,9
0,7,1,4,10,0,9
0,8,1,4,10,0,9
2,9,1,4,7,0,9
4,10,1,4,10,2,9
1,11,1,4,7,0,9
0,12,1,4,10,0,9
0,1,3,4,10,1,10
0,2,3,4,10,0,10
4,3,3,4,4,1,10
0,4,3,4,12,0,10
0,5,3,4,10,0,10
0,6,3,4,10,0,10
0,7,3,4,10,0,10
10,8,3,4,10,0,10
2,9,3,4,11,0,10
1,10,3,4,9,3,10
4,11,3,4,7,0,10
0,12,3,4,10,0,10
0,1,3,4,11,6,11
0,2,3,4,9,1,11
0,3,3,4,10,0,11
0,4,3,4,11,0,11
0,5,3,4,8,0,11
0,6,3,4,10,3,11
0,7,3,4,10,0,11
0,8,3,4,7,0,11
3,9,3,4,10,0,11
3,10,3,4,10,3,11
3,11,3,4,9,0,11
0,12,3,4,7,0,11
0,1,3,4,10,4,12
0,2,3,4,10,0,12
0,3,3,4,12,0,12
0,4,3,4,1,0,12
0,5,3,4,9,0,12
0,6,3,4,10,0,12
0,7,3,4,8,0,12
0,8,3,4,9,0,12
1,9,3,4,9,0,12
2,10,3,4,10,0,12
8,11,3,4,10,0,12
0,12,3,4,8,1,12
0,1,2,2,11,0,13
2,2,2,2,11,6,13
0,3,2,2,8,4,13
0,4,2,2,10,0,13
0,5,2,2,8,0,13
0,6,2,2,10,0,13
0,7,2,2,9,2,13
1,8,2,2,10,6,13
0,9,2,2,8,0,13
0,10,2,2,10,3,13
11,11,2,2,6,0,13
0,12,2,2,12,0,13
0,1,2,2,10,0,14
0,2,2,2,10,1,14
0,3,2,2,11,0,14
2,4,2,2,8,8,14
0,5,2,2,8,1,14
0,6,2,2,10,0,14
0,7,2,2,10,3,14
3,8,2,2,10,1,14
1,9,2,2,10,0,14
1,10,2,2,10,0,14
5,11,2,2,10,0,14
0,12,2,2,11,5,14
0,1,2,2,10,10,15
0,2,2,2,11,3,15
0,3,2,2,9,1,15
